                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     59,                 2.6794,                0.53276,                 2.3229,                 3.1436,               0.056278,                   0.75,               0.056017,               0.028928,               0.047792,                   0.65,               0.046632,               0.025288,                 1.9239,                 0.8166,                 5.7911,                 2.8499,              0.0099426,              0.0099426,              0.0099426
                     60,                 2.4976,                0.51202,                 2.2898,                 3.0135,                0.06066,                   0.45,               0.056617,                0.01585,               0.093234,                   0.75,               0.089148,               0.029384,                 2.6561,                0.80281,                 6.7351,                 3.0261,              0.0099416,              0.0099416,              0.0099416
                     61,                 2.5842,                0.56371,                 2.3243,                  2.964,                0.15223,                   0.75,                 0.1622,               0.042092,                0.19398,                   0.85,                0.21687,               0.075985,                 2.3467,                0.78447,                 7.3512,                 2.9212,              0.0099406,              0.0099406,              0.0099406
                     62,                 2.5336,                0.51508,                 2.2508,                 2.9646,                0.25869,                0.40135,                0.35434,                0.16034,                0.46306,                    0.6,                0.60003,                0.24583,                 1.7059,                 1.0505,                 4.6156,                 2.5149,              0.0099396,              0.0099396,              0.0099396
                     63,                 2.3908,                0.51889,                 2.0899,                 2.9279,                0.38072,                    0.7,                0.46229,                0.17977,                0.38072,                    0.7,                0.46441,                0.26149,                 1.9047,                0.98186,                 3.4738,                 2.5444,              0.0099386,              0.0099386,              0.0099386
                     64,                 2.5144,                0.57929,                  2.216,                  2.947,                0.95777,                   0.75,                0.88658,                0.43379,                0.95777,                   0.75,                0.88658,                 0.5505,                  1.678,                0.75824,                 2.4037,                  2.454,              0.0099376,              0.0099376,              0.0099376
                     65,                 2.3748,                0.50155,                 2.2055,                 2.9359,                0.66443,                   0.95,                 0.8433,                0.44003,                0.66443,                   0.95,                 0.8433,                 0.5406,                 1.5751,                 1.0904,                 2.2499,                 2.3751,              0.0099366,              0.0099366,              0.0099366
                     66,                 2.3339,                0.61112,                  2.024,                 2.8608,                0.85936,                      1,                0.93591,                0.46727,                0.81458,                   0.95,                0.88243,                0.57524,                 1.5135,                0.36929,                 1.8493,                 2.2094,              0.0099357,              0.0099357,              0.0099357
                     67,                 2.4145,                0.56424,                 2.1702,                 2.9257,                0.83846,                   0.65,                0.83721,                0.46871,                0.77961,                0.88484,                0.90547,                0.49944,                 1.5859,                0.93326,                 1.7804,                 2.2421,              0.0099347,              0.0099347,              0.0099347
                     68,                 2.3471,                0.53229,                 2.1891,                 2.8605,                0.25579,                    0.6,                0.26753,                0.14937,                0.25579,                    0.6,                 0.2741,                0.14906,                 1.6041,                0.85272,                 2.0845,                 2.2356,              0.0099337,              0.0099337,              0.0099337
                     69,                 2.4325,                0.66294,                   2.32,                 2.8792,                0.17112,                   0.65,                0.17036,               0.088296,                0.15483,                0.55883,                0.16561,               0.090187,                 1.6548,                 0.8226,                 3.2365,                 2.3651,              0.0099327,              0.0099327,              0.0099327
                     70,                 2.4427,                0.64747,                 2.3073,                 2.8964,               0.072113,                   0.65,               0.083822,               0.044355,               0.084275,                0.59821,               0.083822,               0.054922,                 1.4613,                 0.5914,                 4.4688,                 2.1836,              0.0099317,              0.0099317,              0.0099317
                     71,                  2.297,                0.55322,                 2.0199,                  2.819,               0.071883,                   0.75,               0.075411,               0.038343,               0.074237,                    0.5,               0.090084,               0.044171,                  1.434,                 0.5299,                 4.9212,                 2.1863,              0.0099307,              0.0099307,              0.0099307
                     72,                 2.2695,                0.56213,                  2.039,                  2.744,                0.12439,                   0.65,                 0.1385,               0.079202,                0.12439,                   0.65,                0.14464,               0.093425,                 1.3605,                0.44333,                 4.3029,                  2.088,              0.0099297,              0.0099297,              0.0099297
                     73,                 2.1857,                0.56127,                 2.0721,                 2.7178,                      1,                0.77861,                 0.9073,                0.45491,                      1,                0.79113,                0.95053,                0.63576,                 1.4731,                0.43531,                 2.4974,                 2.1587,              0.0099287,              0.0099287,              0.0099287
                     74,                 2.4057,                 0.5209,                 2.1609,                  2.835,                0.94192,                    0.8,                0.93796,                0.50972,                0.96231,                      1,                  0.995,                0.64436,                 1.3686,                0.45758,                 2.2698,                  2.157,              0.0099277,              0.0099277,              0.0099277
                     75,                  2.261,                0.56695,                 1.9414,                 2.6336,                0.26941,                    0.7,                0.28137,                 0.1094,                0.29056,                    0.8,                0.30237,                0.16185,                 1.3914,                 0.7365,                 3.4256,                  2.142,              0.0099267,              0.0099267,              0.0099267
                     76,                 2.2184,                0.52925,                 1.8409,                 2.6202,                0.88839,                   0.65,                0.77376,                0.30743,                0.93282,                0.69462,                 0.8124,                0.47428,                 1.7944,                0.74086,                 3.2819,                 2.4204,              0.0099258,              0.0099258,              0.0099258
